Zeit von [CET/CEST];Zeit bis [CET/CEST];Preis Erstveröffentlichung [EUR/MWh];Preis 15 min [EUR/MWh];Preis final [EUR/MWh],,,
04.01.2023 11:30:00;04.01.2023 11:45:00;45,10;45,10;49,91
04.01.2023 11:45:00;04.01.2023 12:00:00;83,33;83,33;78,86
04.01.2023 12:00:00;04.01.2023 12:15:00;270,29;270,29;270,35
04.01.2023 12:15:00;04.01.2023 12:30:00;56,70;56,70;65,35
04.01.2023 12:30:00;04.01.2023 12:45:00;50,17;50,17;71,6
04.01.2023 12:45:00;04.01.2023 13:00:00;55,01;55,01;48,55
04.01.2023 13:00:00;04.01.2023 13:15:00;41,05;41,05;61,29
04.01.2023 13:15:00;04.01.2023 13:30:00;62,91;62,91;45,6
04.01.2023 13:30:00;04.01.2023 13:45:00;66,90;66,90;53,72
04.01.2023 13:45:00;04.01.2023 14:00:00;67,92;67,92;66,13
